日期,流水號,名稱,維基集數,ESFIO,無文字版本,imgur,i.imgur
200307,SS0080,我好愛你,52-A,S3E22,,https://imgur.com/wZvbjgI,https://i.imgur.com/wZvbjgI.jpg
200307,SS0081,看我怎麼打扁你,01-C,S1E03,,https://imgur.com/QyNsmJw,https://i.imgur.com/QyNsmJw.jpg
200307,SS0082,因為我們擁有神奇的想像力,44-B,S3E08,,https://imgur.com/rjApJR6,https://i.imgur.com/rjApJR6.jpg
200307,SS0083,安養院裡面的老頭子 都比你要機伶多了,26-B,S2E12,,https://imgur.com/fzsBMyY,https://i.imgur.com/fzsBMyY.jpg
200307,SS0084,無大腦生活研討會會場在哪裡 不要遲到了,26-B,S2E12,,https://imgur.com/mJ0aMVQ,https://i.imgur.com/mJ0aMVQ.jpg
200307,SS0085,你簡直比火雞三明治 還要沒腦袋,26-B,S2E12,,https://imgur.com/KuJ38OU,https://i.imgur.com/KuJ38OU.jpg
200307,SS0086,這個地方比我想像中還要棒耶,26-B,S2E12,,https://imgur.com/6WHm4II,https://i.imgur.com/6WHm4II.jpg
200307,SS0087,靠近看變得更醜了,08-A,S1E16,,https://imgur.com/0nWxUkl,https://i.imgur.com/0nWxUkl.jpg
200307,SS0088,因為笨蛋永遠都不知道自己到底有多笨有多呆,37-B,S2E33,,https://imgur.com/j1xWt1C,https://i.imgur.com/j1xWt1C.jpg
200307,SS0089,是誰把這碗洋蔥放在這裡,42-B,S3E04,,https://imgur.com/9SJHeQ8,https://i.imgur.com/9SJHeQ8.jpg
200307,SS0090,照我看來 他可能比接線生還要笨,37-B,S2E33,,https://imgur.com/b1GZT3S,https://i.imgur.com/b1GZT3S.jpg
200307,SS0091,我爸媽覺得我比一袋尿布還要笨,37-B,S2E33,,https://imgur.com/XqNUNGi,https://i.imgur.com/XqNUNGi.jpg
200307,SS0092,太不健康了,37-B,S2E33,,https://imgur.com/bfwRvbX,https://i.imgur.com/bfwRvbX.jpg
200307,SS0093,你們是誰,37-B,S2E33,,https://imgur.com/NQOoYEr,https://i.imgur.com/NQOoYEr.jpg
200307,SS0094,我跟你打招呼 不是你可以隨便倒轉回來,58-A,S3E33,,https://imgur.com/ibsAi2W,https://i.imgur.com/ibsAi2W.jpg
200307,SS0095,煩耶 你哪來這麼多的問題,32-B,S2E23,,https://imgur.com/1eSTgal,https://i.imgur.com/1eSTgal.jpg
200307,SS0096,只要你記得拿去還 就不算是偷,27-B,S2E14,,https://imgur.com/mt6mKmX,https://i.imgur.com/mt6mKmX.jpg
200307,SS0097,好棒哦,53-B,S3E25,,https://imgur.com/1japfbv,https://i.imgur.com/1japfbv.jpg
200917,SS0098,猜誰剛辭職了,23-A,S2E05,,https://imgur.com/rc98Fxj,https://i.imgur.com/rc98Fxj.jpg
240730,SS0099,好討厭哦,23-A,S2E05,,https://imgur.com/bnkomo7,https://i.imgur.com/bnkomo7.jpg
200917,SS0100,有什麼用 我什麼事情都做不好,23-A,S2E05,,https://imgur.com/zhjuF7K,https://i.imgur.com/zhjuF7K.jpg
200408,SS0101,電話在那裡,45-A,S3E09,,https://imgur.com/CKq7yEm,https://i.imgur.com/CKq7yEm.jpg
200408,SS0102,我要走向電話,45-A,S3E09,,https://imgur.com/bXBxenS,https://i.imgur.com/bXBxenS.jpg
200324,SS0103,我越來越接近電話了,45-A,S3E09,,https://imgur.com/ySOTlPe,https://i.imgur.com/ySOTlPe.jpg
200324,SS0104,現在 我們最期待的一刻就要到來了,45-A,S3E09,,https://imgur.com/xh5Cmx7,https://i.imgur.com/xh5Cmx7.jpg
200324,SS0105,我好想吃掉你哦,22-B,S2E04,,https://imgur.com/aXZP6b3,https://i.imgur.com/aXZP6b3.jpg
200602,SS0106,兄弟 要搭便車嗎,22-B,S2E04,,https://imgur.com/aGgiJTH,https://i.imgur.com/aGgiJTH.jpg
200324,SS0107,我可能沒有勇氣聽下去,22-B,S2E04,,https://imgur.com/H2Pj9qG,https://i.imgur.com/H2Pj9qG.jpg
200324,SS0108,趕快給我走啦 你這個笨動物,42-B,S3E04,,https://imgur.com/5nWGcWg,https://i.imgur.com/5nWGcWg.jpg
200324,SS0109,你們到底有沒有大腦啊,44-B,S3E08,,https://imgur.com/mqh5Jcm,https://i.imgur.com/mqh5Jcm.jpg
200324,SS0110,有了想像力,44-B,S3E08,,https://imgur.com/5mdZbBb,https://i.imgur.com/5mdZbBb.jpg
200324,SS0111,我看不到我的額頭,25-B,S2E10,,https://imgur.com/wrMLgi8,https://i.imgur.com/wrMLgi8.jpg
200324,SS0112,蓬蓬小褲褲,25-B,S2E10,,https://imgur.com/71KpkX4,https://i.imgur.com/71KpkX4.jpg
200324,SS0113,我得幫我的手錶畫個電池,25-B,S2E10,,https://imgur.com/9YYcuth,https://i.imgur.com/9YYcuth.jpg
200324,SS0114,那是綠色的,25-B,S2E10,,https://imgur.com/z0XqpcK,https://i.imgur.com/z0XqpcK.jpg
200324,SS0115,綠的,25-B,S2E10,,https://imgur.com/xAda8pY,https://i.imgur.com/xAda8pY.jpg
200324,SS0116,你可以再慢一點,55-B,S3E28,,https://imgur.com/GrlTXhR,https://i.imgur.com/GrlTXhR.jpg
200324,SS0117,小朋友 我跟你們一起玩好不好,55-B,S3E28,,https://imgur.com/ujoa778,https://i.imgur.com/ujoa778.jpg
200324,SS0118,不用了 球送給你好了,55-B,S3E28,,https://imgur.com/YBV8puh,https://i.imgur.com/YBV8puh.jpg
200324,SS0119,今晚準備要去瘋狂一下了嗎,55-B,S3E28,,https://imgur.com/6AOqLDT,https://i.imgur.com/6AOqLDT.jpg
200324,SS0120,我準備要去瘋狂了,55-B,S3E28,,https://imgur.com/ejow0tu,https://i.imgur.com/ejow0tu.jpg
200324,SS0121,你準備要去瘋狂了嗎,55-B,S3E28,,https://imgur.com/uQ3Y1bf,https://i.imgur.com/uQ3Y1bf.jpg
200324,SS0122,海綿寶寶 派大星,55-B,S3E28,,https://imgur.com/HWE4L3m,https://i.imgur.com/HWE4L3m.jpg
200324,SS0123,好像有人在偷聽我們說話,55-B,S3E28,,https://imgur.com/ElvR4m4,https://i.imgur.com/ElvR4m4.jpg
200324,SS0124,這些人真是沒有禮貌,55-B,S3E28,,https://imgur.com/3WYxlxw,https://i.imgur.com/3WYxlxw.jpg
200324,SS0125,快一點 老頭,55-B,S3E28,,https://imgur.com/em8AWRd,https://i.imgur.com/em8AWRd.jpg
240720,SS0126,的確是滿讓我心碎的,55-B,S3E28,,https://imgur.com/ykAs8Qm,https://i.imgur.com/ykAs8Qm.jpg
200324,SS0127,現在跟以前都不一樣了,55-B,S3E28,,https://imgur.com/Sq0Hjrj,https://i.imgur.com/Sq0Hjrj.jpg
200324,SS0128,你們想不想再洗一遍啊 我請客,55-B,S3E28,,https://imgur.com/bREujXL,https://i.imgur.com/bREujXL.jpg
200324,SS0129,蟹老闆 你現在有瘋狂狂歡的感覺了嗎,55-B,S3E28,,https://imgur.com/MafZ9ZD,https://i.imgur.com/MafZ9ZD.jpg
200324,SS0130,有感覺了嗎 蟹老闆,55-B,S3E28,,https://imgur.com/mmZqq2g,https://i.imgur.com/mmZqq2g.jpg
200324,SS0131,我有感覺 海綿寶寶,55-B,S3E28,,https://imgur.com/oYA9ivN,https://i.imgur.com/oYA9ivN.jpg
200324,SS0132,你又沒問,55-B,S3E28,,https://imgur.com/KGqhxbA,https://i.imgur.com/KGqhxbA.jpg
200324,SS0133,有了 來裸奔吧,52-A,S3E22,,https://imgur.com/vi5LMQm,https://i.imgur.com/vi5LMQm.jpg
200324,SS0134,派大星,53-A,S3E24,,https://imgur.com/QISH8G7,https://i.imgur.com/QISH8G7.jpg
200324,SS0135,幹嘛 我想到比24還要好笑的笑話,53-A,S3E24,,https://imgur.com/ourg6mL,https://i.imgur.com/ourg6mL.jpg
200324,SS0136,說來聽聽,53-A,S3E24,,https://imgur.com/F1RQqms,https://i.imgur.com/F1RQqms.jpg
200324,SS0137,25,53-A,S3E24,,https://imgur.com/yC9KuGh,https://i.imgur.com/yC9KuGh.jpg
200325,SS0138,對啊,23-A,S2E05,,https://imgur.com/NGzUloV,https://i.imgur.com/NGzUloV.jpg
200325,SS0139,我想要擊敗巨大猴子怪 拯救宇宙第九象限,23-A,S2E05,,https://imgur.com/XoZlrRE,https://i.imgur.com/XoZlrRE.jpg
200325,SS0140,我想要擊敗小猴子怪 拯救宇宙第八象限,23-A,S2E05,,https://imgur.com/AZJB3qX,https://i.imgur.com/AZJB3qX.jpg
200325,SS0141,這裡是什麼鬼地方,01-C,S1E03,,https://imgur.com/3gBSRDw,https://i.imgur.com/3gBSRDw.jpg
200325,SS0142,等一等 不可以,05-B,S1E11,,https://imgur.com/xlS23Ti,https://i.imgur.com/xlS23Ti.jpg
220803,SS0143,我的賤招都是跟他學的,60-B,S3E37,,https://imgur.com/yjglzaZ,https://i.imgur.com/yjglzaZ.jpg
200325,SS0144,好 我準備好了,60-B,S3E37,,https://imgur.com/m7D8z33,https://i.imgur.com/m7D8z33.jpg
200324,SS0145,吐司,60-B,S3E37,,https://imgur.com/X7itn6m,https://i.imgur.com/X7itn6m.jpg
200324,SS0146,壞蛋,52-B,S3E23,,https://imgur.com/butKxjQ,https://i.imgur.com/butKxjQ.jpg
200409,SS0147,嚐嚐我的海星巨拳,45-A,S3E09,,https://imgur.com/pqW0DW1,https://i.imgur.com/pqW0DW1.jpg
200409,SS0148,她會不會唱鬆餅人那首歌,18-A,S1E36,,https://imgur.com/bVZaEJK,https://i.imgur.com/bVZaEJK.jpg
200409,SS0149,那麼 也許是因為你太醜了,22-A,S2E03,,https://imgur.com/iMM7wfQ,https://i.imgur.com/iMM7wfQ.jpg
200409,SS0150,你好醜哦,22-A,S2E03,,https://imgur.com/mkyiPUf,https://i.imgur.com/mkyiPUf.jpg
200409,SS0151,這個故事叫醜八怪小貝貝,22-A,S2E03,,https://imgur.com/HxhPksB,https://i.imgur.com/HxhPksB.jpg
200409,SS0152,從前有個醜八怪小貝貝,22-A,S2E03,,https://imgur.com/9UFwTQA,https://i.imgur.com/9UFwTQA.jpg
200409,SS0153,他好醜哦,22-A,S2E03,,https://imgur.com/4EDU60c,https://i.imgur.com/4EDU60c.jpg
200409,SS0154,醜到大家都死光光了,22-A,S2E03,,https://imgur.com/wJKVXrF,https://i.imgur.com/wJKVXrF.jpg
200409,SS0155,講完了,22-A,S2E03,,https://imgur.com/V3VY4j5,https://i.imgur.com/V3VY4j5.jpg
200409,SS0156,從我認識你就這樣了,22-A,S2E03,,https://imgur.com/YspJvqj,https://i.imgur.com/YspJvqj.jpg
200409,SS0157,好可憐的醜海綿,22-A,S2E03,,https://imgur.com/ogBu20U,https://i.imgur.com/ogBu20U.jpg
200409,SS0158,尖叫,22-A,S2E03,,https://imgur.com/jD7oTcl,https://i.imgur.com/jD7oTcl.jpg
200409,SS0159,他又在鬼叫些什麼,22-A,S2E03,,https://imgur.com/C8MjlmI,https://i.imgur.com/C8MjlmI.jpg
200409,SS0160,你們這些人是怎樣,22-A,S2E03,,https://imgur.com/FpoYDcP,https://i.imgur.com/FpoYDcP.jpg
200409,SS0161,看看他 他好醜對不對,22-A,S2E03,,https://imgur.com/LnzRbgv,https://i.imgur.com/LnzRbgv.jpg
200409,SS0162,你要我們的命啊,22-A,S2E03,,https://imgur.com/XGdIweY,https://i.imgur.com/XGdIweY.jpg
200409,SS0163,你把醜八怪病傳染給我了,22-A,S2E03,,https://imgur.com/AtbniRq,https://i.imgur.com/AtbniRq.jpg
200409,SS0164,醜要醜得有尊嚴,22-A,S2E03,,https://imgur.com/l67G6ya,https://i.imgur.com/l67G6ya.jpg
200409,SS0165,可是我以前可是個大帥哥,22-A,S2E03,,https://imgur.com/x9dvVSB,https://i.imgur.com/x9dvVSB.jpg
200409,SS0166,我變得跟你一樣醜了,22-A,S2E03,,https://imgur.com/h58OcUM,https://i.imgur.com/h58OcUM.jpg
200409,SS0167,一些烤牛肉 幾塊炸雞 披薩,22-A,S2E03,,https://imgur.com/LHLI7Ib,https://i.imgur.com/LHLI7Ib.jpg
200409,SS0168,我一直在想,22-A,S2E03,,https://imgur.com/4XexxGi,https://i.imgur.com/4XexxGi.jpg
200409,SS0169,要是我長得跟你一樣醜,22-A,S2E03,,https://imgur.com/KM9ptEy,https://i.imgur.com/KM9ptEy.jpg
200409,SS0170,我該怎麼辦才好呢,22-A,S2E03,,https://imgur.com/Aa50Jsq,https://i.imgur.com/Aa50Jsq.jpg
200409,SS0171,我媽會怎麼說呢,22-A,S2E03,,https://imgur.com/x0ekfmg,https://i.imgur.com/x0ekfmg.jpg
200409,SS0172,我的天啊 要是我姊姊發現了,22-A,S2E03,,https://imgur.com/vr8qJ4a,https://i.imgur.com/vr8qJ4a.jpg
200409,SS0173,等等 我沒有姊姊,22-A,S2E03,,https://imgur.com/IY87FsZ,https://i.imgur.com/IY87FsZ.jpg
200421,SS0174,你到底有什麼問題啊,47-A,S3E13,,https://imgur.com/FKvVdnU,https://i.imgur.com/FKvVdnU.jpg
200421,SS0175,他是不是有問題,47-A,S3E13,,https://imgur.com/yJ0F8FZ,https://i.imgur.com/yJ0F8FZ.jpg
200421,SS0176,有時候我好佩服 我自己這麼聰明哦,47-A,S3E13,,https://imgur.com/RY21wgN,https://i.imgur.com/RY21wgN.jpg
200421,SS0177,我從沒有聽過這麼離譜的事,49-A,S3E17,,https://imgur.com/Khl9oY5,https://i.imgur.com/Khl9oY5.jpg
200421,SS0178,雙胞胎,08-A,S1E16,,https://imgur.com/Hj1gjqg,https://i.imgur.com/Hj1gjqg.jpg
200421,SS0179,我又不知道,08-A,S1E16,,https://imgur.com/B1jygo4,https://i.imgur.com/B1jygo4.jpg
200421,SS0180,他們還說 我什麼事情都做不好呢,15-B,S1E31,,https://imgur.com/tMzfvzB,https://i.imgur.com/tMzfvzB.jpg
200421,SS0181,不 求求你 不要打我,15-B,S1E31,,https://imgur.com/aEMCeUn,https://i.imgur.com/aEMCeUn.jpg
200421,SS0182,準備好要接受治療了嗎,15-B,S1E31,,https://imgur.com/GryNsUS,https://i.imgur.com/GryNsUS.jpg
200421,SS0183,好的 進去吧,11-B,S1E23,,https://imgur.com/IU7aYAA,https://i.imgur.com/IU7aYAA.jpg
200421,SS0184,他怎麼了 腦袋壞掉了,49-B,S3E18,,https://imgur.com/geG9g1q,https://i.imgur.com/geG9g1q.jpg
200421,SS0185,要是我當媽媽 他可能會被我嚇到,49-B,S3E18,,https://imgur.com/IFD7zk1,https://i.imgur.com/IFD7zk1.jpg
200421,SS0186,你們要繼續裝可愛哦,49-B,S3E18,,https://imgur.com/37zuTBL,https://i.imgur.com/37zuTBL.jpg
200421,SS0187,好啦 明天再說吧,49-B,S3E18,,https://imgur.com/9hszsCN,https://i.imgur.com/9hszsCN.jpg
200421,SS0188,他的頭被兩顆椰子砸到了,49-B,S3E18,,https://imgur.com/dLTRFaj,https://i.imgur.com/dLTRFaj.jpg
200421,SS0189,做起來沒有看起來那麼容易,49-B,S3E18,,https://imgur.com/YxElesX,https://i.imgur.com/YxElesX.jpg
200427,SS0190,滿公道的,02-A,S1E04,,https://imgur.com/uSm7uK0,https://i.imgur.com/uSm7uK0.jpg
200427,SS0191,吹一次兩毛五 先生,02-A,S1E04,,https://imgur.com/07ADM5X,https://i.imgur.com/07ADM5X.jpg
200427,SS0192,多學著點,02-A,S1E04,,https://imgur.com/yq00ooR,https://i.imgur.com/yq00ooR.jpg
240730,SS0193,你好壞哦,05-A,S1E10,,https://imgur.com/oh7ZGgO,https://i.imgur.com/oh7ZGgO.jpg
200427,SS0194,這個地方變得越來越詭異了,23-B,S2E06,,https://imgur.com/TIs5RhF,https://i.imgur.com/TIs5RhF.jpg
200427,SS0195,就像個精靈,28,S2E15,,https://imgur.com/EV2tRud,https://i.imgur.com/EV2tRud.jpg
200427,SS0196,哈囉 老頭,28,S2E15,,https://imgur.com/cP6Xtw9,https://i.imgur.com/cP6Xtw9.jpg
200427,SS0197,來得快去得也快,34-B,S2E27,,https://imgur.com/tx60YCN,https://i.imgur.com/tx60YCN.jpg
200427,SS0198,不客氣,34-B,S2E27,,https://imgur.com/lmyoDp7,https://i.imgur.com/lmyoDp7.jpg
200427,SS0199,不要難過 那只是一幅畫,34-B,S2E27,,https://imgur.com/v8zVwJ3,https://i.imgur.com/v8zVwJ3.jpg
200427,SS0200,不要管動機了 說嗨,58-A,S3E33,,https://imgur.com/mgrjVMJ,https://i.imgur.com/mgrjVMJ.jpg
200429,SS0201,胖呆說得對,33-A,S2E24,,https://imgur.com/Wy5QZbK,https://i.imgur.com/Wy5QZbK.jpg
200429,SS0202,你們還我襪子 我就給你們三個願望,33-A,S2E24,,https://imgur.com/mL7mjn9,https://i.imgur.com/mL7mjn9.jpg
200429,SS0203,五個才行,33-A,S2E24,,https://imgur.com/f8nPgGf,https://i.imgur.com/f8nPgGf.jpg
200429,SS0204,四個,33-A,S2E24,,https://imgur.com/6FLZOGX,https://i.imgur.com/6FLZOGX.jpg
